Ensembl.RM.ID,Ensembl.HS.ID,HS.SYMBOL.ID,logFC.W0D1.Prot.Subq,logFC.W0D3.Prot.Subq,logFC.W0D7.Prot.Subq,logFC.W18D0.Prot.Subq,logFC.W18D1.Prot.Subq,logFC.W18D3.Prot.Subq,logFC.W18D7.Prot.Subq,logFC.W88D0.Prot.Subq,logFC.W0D1.Unpr.Subq,logFC.W0D3.Unpr.Subq,logFC.W0D7.Unpr.Subq,logFC.W18D0.Unpr.Subq,logFC.W18D1.Unpr.Subq,logFC.W18D3.Unpr.Subq,logFC.W18D7.Unpr.Subq,logFC.W88D0.Unpr.Subq,logFC.W0D1.Prot.Oral,logFC.W0D3.Prot.Oral,logFC.W0D7.Prot.Oral,logFC.W18D0.Prot.Oral,logFC.W18D1.Prot.Oral,logFC.W18D3.Prot.Oral,logFC.W18D7.Prot.Oral,logFC.W88D0.Prot.Oral,logFC.W0D1.Unpr.Oral,logFC.W0D3.Unpr.Oral,logFC.W0D7.Unpr.Oral,logFC.W18D0.Unpr.Oral,logFC.W18D1.Unpr.Oral,logFC.W18D3.Unpr.Oral,logFC.W18D7.Unpr.Oral,logFC.W88D0.Unpr.Oral,Pval.W0D1.Prot.Subq,Pval.W0D3.Prot.Subq,Pval.W0D7.Prot.Subq,Pval.W18D0.Prot.Subq,Pval.W18D1.Prot.Subq,Pval.W18D3.Prot.Subq,Pval.W18D7.Prot.Subq,Pval.W88D0.Prot.Subq,Pval.W0D1.Unpr.Subq,Pval.W0D3.Unpr.Subq,Pval.W0D7.Unpr.Subq,Pval.W18D0.Unpr.Subq,Pval.W18D1.Unpr.Subq,Pval.W18D3.Unpr.Subq,Pval.W18D7.Unpr.Subq,Pval.W88D0.Unpr.Subq,Pval.W0D1.Prot.Oral,Pval.W0D3.Prot.Oral,Pval.W0D7.Prot.Oral,Pval.W18D0.Prot.Oral,Pval.W18D1.Prot.Oral,Pval.W18D3.Prot.Oral,Pval.W18D7.Prot.Oral,Pval.W88D0.Prot.Oral,Pval.W0D1.Unpr.Oral,Pval.W0D3.Unpr.Oral,Pval.W0D7.Unpr.Oral,Pval.W18D0.Unpr.Oral,Pval.W18D1.Unpr.Oral,Pval.W18D3.Unpr.Oral,Pval.W18D7.Unpr.Oral,Pval.W88D0.Unpr.Oral,adjPval.W0D1.Prot.Subq,adjPval.W0D3.Prot.Subq,adjPval.W0D7.Prot.Subq,adjPval.W18D0.Prot.Subq,adjPval.W18D1.Prot.Subq,adjPval.W18D3.Prot.Subq,adjPval.W18D7.Prot.Subq,adjPval.W88D0.Prot.Subq,adjPval.W0D1.Unpr.Subq,adjPval.W0D3.Unpr.Subq,adjPval.W0D7.Unpr.Subq,adjPval.W18D0.Unpr.Subq,adjPval.W18D1.Unpr.Subq,adjPval.W18D3.Unpr.Subq,adjPval.W18D7.Unpr.Subq,adjPval.W88D0.Unpr.Subq,adjPval.W0D1.Prot.Oral,adjPval.W0D3.Prot.Oral,adjPval.W0D7.Prot.Oral,adjPval.W18D0.Prot.Oral,adjPval.W18D1.Prot.Oral,adjPval.W18D3.Prot.Oral,adjPval.W18D7.Prot.Oral,adjPval.W88D0.Prot.Oral,adjPval.W0D1.Unpr.Oral,adjPval.W0D3.Unpr.Oral,adjPval.W0D7.Unpr.Oral,adjPval.W18D0.Unpr.Oral,adjPval.W18D1.Unpr.Oral,adjPval.W18D3.Unpr.Oral,adjPval.W18D7.Unpr.Oral,adjPval.W88D0.Unpr.Oral
ENSMMUG00000000005,ENSG00000198951,NAGA,-0.2576,-0.3482,-0.2435,-0.3802,0.2472,-0.176,0.04037,-0.6716,-0.1514,0.3019,0.05434,-0.1087,0.3531,0.03978,0.2468,-0.2858,-0.381,-0.619,-0.1239,-0.5297,-0.4222,-0.3333,-0.4776,-0.5472,-0.3007,-0.4413,0.05096,-0.529,-0.2337,-0.1903,-0.3176,-0.3083,0.05995,0.01869,0.07342,0.005759,0.07983,0.1961,0.7739,1.682e-05,0.3512,0.03723,0.7373,0.4569,0.04165,0.7827,0.1246,0.08561,0.00191,3.457e-07,0.2878,2.305e-05,0.0003963,0.008971,6.487e-05,2.698e-05,0.04838,0.002644,0.7227,0.0007455,0.1083,0.1897,0.02928,0.09365,0.1355,0.05516,0.2381,0.0339,0.4715,0.2724,0.9282,0.0004891,0.5747,0.4391,0.9464,0.69,0.3349,0.858,0.3158,0.4249,0.004753,2.525e-06,0.4148,0.001794,0.01261,0.1461,0.0005833,0.0005009,0.1027,0.008617,0.8337,0.01569,0.5572,0.4183,0.101,0.3638
ENSMMUG00000000009,ENSG00000081237,PTPRC,0.6582,0.7599,0.4909,0.6141,-0.02989,0.676,0.07588,0.7424,0.6128,-0.08793,0.03596,0.4628,-0.003463,0.4488,-0.3378,0.2888,1.081,1.104,0.4322,0.5953,0.5119,0.4443,0.6659,0.5763,0.8344,0.753,-0.05932,0.3466,0.1655,-0.09727,0.09984,0.155,0.001021,0.000498,0.01318,0.002074,0.8827,0.0007238,0.7077,0.0006653,0.009457,0.6759,0.8775,0.02863,0.9889,0.03433,0.1462,0.2187,3.577e-09,5.796e-10,0.01078,0.0007597,0.002648,0.0149,0.0001051,0.001683,0.0001699,0.0003328,0.7727,0.1112,0.4208,0.6357,0.6275,0.5472,0.01485,0.006373,0.09992,0.02133,0.9793,0.004698,0.9042,0.005644,0.08937,0.8903,0.9794,0.2711,0.9985,0.1096,0.3445,0.6375,9.196e-08,2.666e-08,0.03841,0.01028,0.03117,0.1727,0.0007608,0.01162,0.00285,0.001751,0.8677,0.2523,0.8054,0.7992,0.7653,0.8062
ENSMMUG00000000013,ENSG00000134152,KATNBL1,0.7088,0.9175,0.5227,0.6702,-0.258,0.6655,-0.2528,1.044,0.6482,-0.1805,-0.1751,0.2849,-0.0519,0.2332,-0.8247,0.113,1.188,1.2,-0.02187,0.7723,0.6506,0.5675,0.7856,0.6909,0.6196,0.4219,-0.7269,0.369,0.09451,-0.6066,-0.2437,-0.1478,0.01891,0.005095,0.08096,0.02571,0.4138,0.02658,0.4286,0.001698,0.06566,0.5683,0.6199,0.3693,0.8947,0.4614,0.02427,0.7486,1.576e-05,7.35e-06,0.9338,0.004389,0.01294,0.04576,0.002773,0.01464,0.06673,0.1906,0.02644,0.2743,0.7683,0.06153,0.4464,0.7122,0.0662,0.02313,0.2495,0.07614,0.8272,0.0541,0.7497,0.01058,0.2293,0.8448,0.9109,0.6286,0.9756,0.6049,0.1527,0.9455,8.767e-05,3.015e-05,0.9572,0.02674,0.06506,0.2437,0.007568,0.05451,0.1301,0.268,0.09573,0.4536,0.9408,0.2097,0.6191,0.892
ENSMMUG00000000042,ENSG00000121989,ACVR2A,0.5038,0.9055,0.9524,0.7286,0.3692,1.172,0.507,1.006,0.2009,-0.07013,0.375,0.7166,0.1287,0.8227,-0.2511,0.7996,0.6543,1.463,1.126,1.01,0.8456,0.875,1.101,0.1985,0.7016,0.821,0.2157,0.8636,0.265,0.4323,0.4454,0.1212,0.09325,0.00473,0.001113,0.01234,0.2513,5.046e-05,0.1155,0.001076,0.5731,0.8215,0.2612,0.02169,0.7409,0.006333,0.4806,0.01503,0.01843,2.122e-08,3.176e-05,0.0002138,0.00162,0.002462,4.173e-05,0.5314,0.03819,0.008672,0.5051,0.0115,0.4253,0.1871,0.1619,0.7658,0.1832,0.02204,0.0454,0.05022,0.7219,0.001162,0.433,0.007775,0.7483,0.9436,0.7508,0.2574,0.9316,0.04092,0.6597,0.1663,0.03336,3.162e-07,0.0007179,0.005798,0.02501,0.08895,0.0004549,0.671,0.08661,0.02173,0.6703,0.06468,0.8073,0.4148,0.3154,0.9175
ENSMMUG00000000051,ENSG00000185621,LMLN,0.7093,0.9004,0.2142,1.065,0.03574,0.6601,0.3682,1.078,0.9956,-0.4284,-0.6221,0.4899,0.3178,0.192,-0.4205,0.4755,2.042,1.542,-0.2755,1.004,0.8612,0.4926,0.8318,0.8329,1.023,0.4317,-1.236,-0.1854,-0.4791,-0.9538,-0.7056,-0.3402,0.04105,0.01918,0.5562,0.002687,0.9254,0.06363,0.3488,0.00825,0.01066,0.2305,0.1239,0.1673,0.4798,0.5873,0.2948,0.2115,2.401e-11,1.369e-07,0.3888,0.00121,0.003874,0.1495,0.006166,0.01075,0.003233,0.1933,0.0009751,0.6086,0.1702,0.008105,0.04177,0.4491,0.1062,0.05618,0.7376,0.0237,0.987,0.1087,0.6916,0.03064,0.09429,0.6696,0.6303,0.46,0.8281,0.715,0.5029,0.629,2.179e-09,1.239e-06,0.5177,0.01306,0.03746,0.3851,0.01412,0.04366,0.01566,0.2709,0.007749,0.7484,0.6339,0.05318,0.127,0.7473
ENSMMUG00000000056,ENSG00000163512,AZI2,0.8519,0.7903,0.3555,0.4892,0.2749,0.6005,-0.0001175,0.5446,0.5971,-0.1825,-0.03811,0.4433,0.1867,0.3833,-0.5347,0.09569,0.5888,0.792,0.4003,0.3873,0.3213,0.1958,0.5113,0.3334,0.4919,0.5439,-0.07276,0.3495,0.0443,-0.2381,0.1142,-0.136,9.337e-06,0.0002023,0.06525,0.01112,0.1705,0.001915,0.9995,0.009467,0.008551,0.3729,0.8677,0.03229,0.4526,0.06228,0.02391,0.6738,0.0007753,2.447e-06,0.01819,0.02672,0.05571,0.2908,0.00257,0.07099,0.0234,0.007758,0.726,0.1101,0.8319,0.2579,0.5771,0.6002,0.0009248,0.004614,0.2229,0.04734,0.6335,0.008239,0.9999,0.03382,0.08494,0.7462,0.9782,0.2776,0.8137,0.1576,0.1518,0.9224,0.002234,1.216e-05,0.05547,0.08524,0.1486,0.5285,0.007155,0.1661,0.06092,0.01994,0.836,0.2505,0.9582,0.4975,0.7284,0.8383
ENSMMUG00000000058,ENSG00000091527,CDV3,0.4536,0.4345,0.1283,0.363,0.01399,0.4657,0.1869,0.4805,0.3618,-0.2362,-0.1389,0.2246,0.0494,0.4335,-0.07878,0.2263,0.878,0.8376,0.3976,0.3045,0.3438,0.2435,0.5507,0.335,0.6106,0.5218,-0.06783,-0.02418,0.006287,-0.2128,0.1272,0.227,0.002149,0.006823,0.3825,0.01371,0.9271,0.001661,0.2222,0.003064,0.03516,0.1278,0.4207,0.1479,0.7918,0.005384,0.6465,0.1869,1.859e-10,3.725e-10,0.001907,0.02104,0.007127,0.07686,2.136e-05,0.01514,0.0002487,0.0009216,0.6644,0.8838,0.968,0.1769,0.4142,0.2441,0.02127,0.0278,0.6012,0.05323,0.987,0.007573,0.5767,0.01581,0.1672,0.5792,0.8368,0.44,0.9464,0.03742,0.7863,0.5973,9.638e-09,1.984e-08,0.01176,0.07243,0.04908,0.2946,0.0003298,0.05579,0.003511,0.003792,0.7907,0.9314,0.9914,0.4013,0.5904,0.5718
ENSMMUG00000000107,ENSG00000196967,ZNF585A,0.5405,0.7187,0.6621,0.3275,-0.1665,0.4887,-0.3517,0.5424,0.3317,-0.3037,-0.1802,0.009394,-0.5271,0.07145,-0.9878,0.09784,0.3608,0.8175,0.289,0.6358,0.2814,0.2371,0.7096,0.5514,0.2781,0.4212,-0.01565,0.511,-0.09617,-0.03705,0.02274,0.01103,0.02564,0.007665,0.007212,0.1862,0.5385,0.04829,0.2065,0.04181,0.2535,0.2491,0.5362,0.9721,0.1195,0.7858,0.002145,0.7357,0.1235,0.0001825,0.2056,0.005752,0.2132,0.3385,0.001695,0.02564,0.3424,0.1212,0.956,0.0819,0.7391,0.8973,0.9343,0.9742,0.07963,0.02994,0.07894,0.2949,0.8777,0.08696,0.5608,0.09814,0.4824,0.6808,0.8844,0.9887,0.5229,0.8603,0.05572,0.9426,0.173,0.0004593,0.3236,0.03158,0.3557,0.5714,0.005198,0.08088,0.4486,0.185,0.9781,0.2067,0.9313,0.9494,0.9645,0.9924
ENSMMUG00000000125,ENSG00000124209,RAB22A,0.5364,0.6604,0.4232,0.5465,0.0363,0.6985,0.1051,0.5859,0.398,-0.2162,-0.09088,0.3141,-0.1485,0.4911,-0.4931,0.2226,0.6458,0.8304,0.4702,0.4336,0.321,0.1265,0.6379,0.2706,0.6084,0.5659,0.08278,0.2485,-0.07525,-0.2311,0.1956,-0.2506,0.004709,0.001574,0.02685,0.004295,0.8573,0.0002647,0.6057,0.004716,0.07732,0.2907,0.6901,0.1256,0.5576,0.01611,0.03515,0.324,0.0001704,4.985e-07,0.004621,0.01144,0.05136,0.486,0.0001272,0.1359,0.004489,0.005179,0.6854,0.2511,0.7167,0.2691,0.3325,0.3294,0.03115,0.01127,0.1408,0.02955,0.9728,0.002754,0.8561,0.02095,0.2516,0.7032,0.9365,0.4178,0.8641,0.07045,0.1781,0.7377,0.0006247,3.35e-06,0.02135,0.04866,0.1416,0.6937,0.0008519,0.2632,0.01941,0.0146,0.8071,0.4283,0.9248,0.5087,0.5122,0.6518
ENSMMUG00000000170,ENSG00000205413,SAMD9,1.708,1.561,0.6185,0.9077,0.6791,1.193,-0.3974,1.28,1.44,0.00428,-0.2549,0.471,0.1788,0.6993,-1.044,0.4283,1.76,1.774,0.2328,1.16,0.8551,0.5223,1.103,1.148,1.014,0.8343,-0.7271,0.3972,-0.111,-0.6083,-0.2357,0.1495,3.947e-05,0.0003263,0.1094,0.02058,0.09141,0.002699,0.3279,0.003155,0.002312,0.9918,0.5768,0.2534,0.7158,0.09312,0.0283,0.3549,1.59e-06,7.636e-07,0.493,0.00105,0.01222,0.155,0.001241,0.001787,0.02411,0.05075,0.08171,0.3625,0.7881,0.1431,0.5696,0.7711,0.002429,0.005383,0.2942,0.06731,0.4996,0.01022,0.6752,0.01612,0.05039,0.9968,0.8984,0.5377,0.9242,0.2056,0.1625,0.7629,1.317e-05,4.718e-06,0.6124,0.01213,0.06335,0.3903,0.00412,0.01213,0.06227,0.09141,0.2074,0.5429,0.9462,0.3538,0.7229,0.9197
