,(treatmentProtected_D1_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D3_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D7_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D14_Prime - treatmentProtected_D0_Prime),(treatmentProtected_BD0_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD1_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD3_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD7_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD14_Boost - treatmentProtected_D0_Prime),(treatmentUnprotected_D1_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D3_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D7_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D14_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD0_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD1_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD3_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD7_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD14_Boost - treatmentUnprotected_D0_Prime),tiW0D1.vaccProt.grS...tiW0D0.vaccProt.grS,tiW0D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D7.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D0.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D1.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D1.vaccInfe.grS...tiW0D0.vaccInfe.grS,tiW0D3.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW0D7.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D0.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D1.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D7.vaccInfe.grS..tiW0D0.vaccInfe.grS
TRIM22,1.154308986,0.130410681,-0.217296229,-0.131671155,0.455650694,0.796744451,-0.038473984,0.006788622,-0.039861867,0.497402434,0.031257351,-0.257647984,-0.123009506,-0.087189102,0.435287223,-0.051051998,-0.197511017,-0.185265782,0.895643889,0.616157824,0.127003465,0.53657152,0.685782676,0.644796396,0.828376994,0.070165471,-0.185020392,0.308452723,0.709740332,-0.173899163
DMXL2,1.22279499,0.477103241,-0.071874287,0.095220639,0.851421831,1.692515812,0.901470682,0.622459967,0.399928556,0.468570521,0.128056488,-0.149318428,-0.299110699,-0.086946931,0.553601474,0.517049135,-0.065559625,-0.148217235,1.340229588,1.15176431,0.490736918,0.945563517,0.179019415,1.156193132,1.412820923,-0.073157637,-0.151256719,0.721670027,0.514651047,-0.19208242
USP15,0.563047118,-0.09635766,0.029255786,0.065173688,0.560224645,0.48938501,-0.176542922,0.301076201,0.370315978,-0.015661366,-0.218325414,-0.256943241,-0.352328157,-0.283965006,-0.168111344,-0.292100366,0.110621279,-0.010685255,0.986772651,0.84938256,0.445430672,0.676709782,0.059653773,0.663435001,0.489420183,-0.291467931,-0.304058447,0.140499538,-0.095157267,-0.865625428
PGAP3,-0.400287907,-0.059126184,-0.010266263,0.039063683,-0.471654007,-0.578657529,-0.255129938,-0.079550789,-0.11662456,0.009621649,0.048760568,0.241223272,0.261552971,0.154354537,-0.072346131,-0.026278384,0.149724908,0.155496897,-0.533776478,-0.447240569,-0.079416361,-0.443123544,-0.136690733,-0.515802632,-0.457559239,0.219388415,0.300370189,-0.157714136,-0.085994369,0.278778367
ATXN7,1.074734846,-0.035367146,0.016431186,-0.114453079,0.384227524,0.768790893,0.067625291,0.08470837,0.133125894,0.292347859,-0.244943662,-0.235992962,-0.154695257,-0.056083815,0.203767914,0.044403038,-0.05331388,-0.170554187,1.075890281,0.954895531,0.343158856,0.593686346,0.549954657,1.028244154,1.126279059,-0.2795769,-0.266155959,0.470353346,0.510208797,-0.380913215
RICTOR,1.308746448,0.043525477,0.200592312,0.255288641,1.217214123,1.175400686,0.44460253,0.891930435,0.698047293,0.372995082,-0.549448237,-0.306447853,-0.258442049,0.073688464,0.445376655,0.252861641,-0.03909343,-0.000576424,1.511910852,1.724619893,0.608632377,1.193924455,0.497476222,1.490930671,1.68343835,-0.114202824,-0.052254332,0.909544653,0.396279466,-0.437488142
TANK,1.052729373,0.029750685,-0.116198756,-0.054831966,0.430078748,0.738911745,0.003440843,0.149010979,0.135778404,0.379488819,0.013953373,-0.134440737,-0.062019414,-0.004994696,0.397812086,0.061738609,-0.093408569,-0.058796211,0.762433194,0.590621917,0.367039202,0.520140293,0.266468214,0.657984944,0.600573456,-0.162976418,-0.102969177,0.276652779,0.232649939,-0.399799144
PIK3AP1,1.161061885,0.241136022,-0.055247676,0.068685149,0.30118439,0.953498294,0.274690307,0.134740248,0.059384278,0.650351179,0.141296018,-0.034692277,-0.018133404,0.113180057,0.58269539,0.220812739,0.000884834,-0.05277387,0.785465379,0.564819215,0.114823028,0.347328827,0.532144901,0.677965201,0.58757157,0.017122047,-0.161441613,0.21159664,0.439134287,-0.168404791
VRK2,0.760338575,0.004489207,-0.174625735,-0.123297173,0.240878952,0.487311325,-0.067560303,0.028638508,-0.013781043,0.216454761,-0.031930295,-0.198354921,-0.145980377,-0.090610249,0.323476436,-0.018153266,-0.166420022,-0.045376537,0.937513386,0.951530391,0.497276506,0.568299996,0.433735107,0.831644828,0.712082932,-0.078398448,-0.047511065,0.368783576,0.232222223,-0.574607872
ACTN3,-0.653838954,0.157214659,0.50958913,0.274013534,-0.687703222,-0.946223701,-0.218110677,0.108195584,0.013637166,0.039777858,0.149956445,0.567015602,0.601400274,-0.074459272,-0.176439945,0.281139013,0.292076365,0.5784913,-0.551566129,-0.588575656,0.015055609,-0.342343835,0.073088905,-0.484916085,-0.142004165,0.701246776,0.648234714,0.125362575,0.200088306,0.480775772
CTSF,-1.003600185,-0.078729411,-0.048687731,0.142870742,-0.456309376,-1.146166206,-0.123565191,-0.080666888,-0.118476189,-0.577605029,-0.041304429,0.154293717,0.227042912,-0.096960206,-0.55088166,-0.156372806,0.087015155,0.075621658,-0.55948014,-0.353271859,-0.01793714,-0.199774332,-0.259877591,-0.410741095,-0.247648716,0.324719847,0.384340003,0.071405103,-0.044552446,0.327590196
PIBF1,1.476978295,0.168970199,0.095710304,-0.099374564,0.502393423,0.891577204,0.110551538,0.210672726,0.141357149,0.515173038,0.137585135,-0.320439108,-0.278815928,-0.114689434,0.244251674,0.286793826,0.048899288,-0.136546944,0.810373957,0.775250318,0.510508874,0.534278128,0.188720678,0.594709938,0.416048105,-0.14086716,-0.210483681,0.1946316,-0.147143936,-0.578899536
WDR54,-0.740391627,-0.265776772,0.000802232,0.079112279,-0.527357602,-0.914029202,-0.283501625,-0.288818736,-0.179910363,-0.063544942,0.088816108,0.252357273,0.337458369,0.143485594,-0.131009869,0.099229062,0.275283185,0.293266219,-0.555450883,-0.456682095,-0.073171219,-0.450502202,-0.138590702,-0.528384455,-0.432240852,0.289888552,0.30716809,-0.315285907,0.06081636,0.09183624
TUT7,0.90976283,-0.082982322,-0.068158692,-0.182853677,0.656619886,0.863562925,0.085542873,0.157732106,0.058592679,0.400291052,-0.266618717,-0.331362092,-0.252417584,-0.169149073,0.138817361,-0.117893136,-0.347197851,-0.372907803,1.046897863,0.738444994,0.202605559,0.617856266,0.272558388,0.730444444,0.884405648,-0.027992392,-0.332825446,0.193840793,0.425601754,-0.232776648
RMND5A,0.283661222,-0.114013385,0.579969881,0.500014685,0.621328261,0.245511526,-0.190174729,0.770431966,0.904529671,-0.300806392,-0.232157006,-0.095008375,-0.525252589,-0.721542054,-0.732911173,0.030067542,0.782582303,0.544889201,0.221264309,0.140120017,0.091679832,0.38410849,-0.077603022,0.475665658,-0.122409825,-0.505209826,-0.311779128,0.027534645,-0.134674504,-0.345331947
